active_power,poa_global,cos_aoi,dni,dhi,temperature,wind_speed
20.279,5.946683750386859,0.16230048626865942,0.0,6.0842814,16.013,1.421267
243.81,273.2308147228336,0.38780975666480866,529.68414,68.685524,18.063002,2.34094
472.588,545.2615725788221,0.5821722026072831,777.98676,92.56562,21.913,2.5961509
632.743,704.7699369307236,0.7321417555736007,815.4583,107.30461,23.713001,4.0112343
738.18,790.526512608473,0.8274990636159598,811.5881,118.11988,24.763,4.9819674
755.808,827.668901787475,0.8617479266428644,831.3733,109.79392,25.463001,5.0695167
788.7919999999999,773.5631277626189,0.832557808293193,802.2549,104.19343,25.863,4.4777226
256.625,465.5972268121311,0.7419222477811436,344.67972,213.19073,24.963001,5.140039
546.827,295.2410249226325,0.5960223627376997,253.05106,146.82593,24.513,5.491812
107.495,163.7848991584659,0.4048048161422575,195.09323,86.26923,23.763,5.080354
38.873000000000005,28.093051133822463,0.18130313426300948,34.699524,22.2612,22.463001,5.021952
0.0,0.0,0.0,0.0,0.0,21.163,3.847077
0.0,0.0,0.0,0.0,0.0,19.963001,3.214032
0.0,0.0,0.0,0.0,0.0,19.013,2.9068885
0.0,0.0,0.0,0.0,0.0,18.463001,2.915476
0.0,0.0,0.0,0.0,0.0,18.113,2.0099752
0.0,0.0,0.0,0.0,0.0,17.713001,1.9313208
0.0,0.0,0.0,0.0,0.0,17.413,1.8357561
0.0,0.0,0.0,0.0,0.0,17.113,1.9104972
0.0,0.0,0.0,0.0,0.0,16.463001,1.3341664
0.0,0.0,0.0,0.0,0.0,17.713001,2.758623
0.0,0.0,0.0,0.0,0.0,17.213001,2.5612497
0.0,0.0,0.0,0.0,0.0,16.763,2.6400757
0.0,0.0,0.0,0.0,0.0,16.013,2.2022715
12.783,3.114822615758289,0.16055203359541995,0.0,3.1868951,15.313,1.6155494
169.86700000000002,243.91511270097703,0.38573188085183807,455.0939,69.35275,16.913,1.104536
383.214,497.9421552365831,0.579815084272382,693.2577,96.5195,19.163,1.5652475
618.248,658.3401623768366,0.7295749514639724,720.226,133.39262,21.063002,3.8183768
730.743,734.25519722054,0.8248067157556076,735.03766,127.74243,21.913,4.738143
773.0900000000001,762.0247902838137,0.8590229602839374,737.3031,128.105,22.263,5.315073
729.592,684.0133287617118,0.8298955190604715,665.6377,131.44211,22.313002,5.60803
661.432,560.5826390177339,0.7394137209336824,605.1882,113.03532,22.163,5.481788
482.44000000000005,443.79607788620075,0.5937481794213939,611.68555,80.23817,22.313002,4.482187
125.098,237.66441928485676,0.4028294819482066,447.51276,57.57911,21.013,4.031129
25.598000000000003,40.14796383446,0.1796706154137323,129.97955,17.013922,19.313002,2.9410884
0.0,0.0,0.0,0.0,0.0,17.913,2.7658632
0.0,0.0,0.0,0.0,0.0,17.163,2.4839485
0.0,0.0,0.0,0.0,0.0,16.763,2.1931713
0.0,0.0,0.0,0.0,0.0,16.113,1.8973665
0.0,0.0,0.0,0.0,0.0,15.363,1.431782
0.0,0.0,0.0,0.0,0.0,14.563,1.0816654
0.0,0.0,0.0,0.0,0.0,14.013,0.98994946
0.0,0.0,0.0,0.0,0.0,14.163,1.0
0.0,0.0,0.0,0.0,0.0,13.963,1.0630146
0.0,0.0,0.0,0.0,0.0,14.063,1.104536
0.0,0.0,0.0,0.0,0.0,13.563,1.0630146
0.0,0.0,0.0,0.0,0.0,12.863,1.1401755
0.0,0.0,0.0,0.0,0.0,12.613,0.7
14.657,3.301126513384533,0.1587674723435636,0.0,3.3775098,13.013,0.7615773
251.751,257.17411334100973,0.38362174511295827,498.92975,66.6368,15.563001,2.0124612
125.495,531.2773229578713,0.5774331959607512,759.6415,92.95707,19.613,2.236068
325.704,633.3010760233144,0.7269939947373989,717.13544,112.00762,21.963001,4.263801
818.1240000000001,657.0843335156507,0.8221132309801251,640.23956,130.98378,22.613,4.9396353
414.137,639.238257835417,0.8563113769538264,572.78204,149.47134,22.613,4.8877397
425.395,618.1086935756058,0.8272616394718686,567.9829,148.9501,23.163,4.8010416
196.249,510.8784058725353,0.736948104616068,503.59775,140.77231,23.163,4.763402
127.59300000000002,349.88432494687464,0.5915298856543255,399.69147,114.63088,23.063002,3.753665
174.899,196.86525189133255,0.40092060312088756,298.38947,78.26871,21.963001,3.2449963
14.942,33.92493022987139,0.17811197934403117,97.5235,16.811039,20.463001,1.9723083
0.0,0.0,0.0,0.0,0.0,18.963001,2.1633308
0.0,0.0,0.0,0.0,0.0,18.363,1.8027756
