collect_time,active_power,irradiance,poa_global,cos_aoi,dni,dhi,temperature,cos_time
2023-11-01 22:50:00,0.0,0.4,0.0,0.0,0.0,0.4000000059604645,17.1,0.9537169507482267
2023-11-01 22:55:00,0.0,0.0,0.0,0.0,0.0,0.0,17.2,0.9600498543859284
2023-11-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,17.1,0.9659258262890683
2023-11-01 23:05:00,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0.9713420698132613
2023-11-01 23:10:00,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.9762960071199334
2023-11-01 23:15:00,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.9807852804032303
2023-11-01 23:20:00,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0.9848077530122079
2023-11-01 23:25:00,0.0,0.0,0.0,0.0,0.0,0.0,17.2,0.9883615104677608
2023-11-01 23:30:00,0.0,0.0,0.0,0.0,0.0,0.0,17.3,0.9914448613738104
2023-11-01 23:35:00,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0.9940563382223195
2023-11-01 23:40:00,0.0,0.0,0.0,0.0,0.0,0.0,17.3,0.9961946980917455
2023-11-01 23:45:00,0.0,0.0,0.0,0.0,0.0,0.0,17.3,0.9978589232386035
2023-11-01 23:50:00,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.9990482215818578
2023-11-01 23:55:00,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0.9997620270799091
2023-11-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,17.4,1.0
2023-11-02 00:05:00,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.9997620270799091
2023-11-02 00:10:00,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0.9990482215818578
2023-11-02 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.9978589232386035
2023-11-02 00:20:00,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.9961946980917455
2023-11-02 00:25:00,0.0,0.0,0.0,0.0,0.0,0.0,17.7,0.9940563382223196
2023-11-02 00:30:00,0.0,0.4,0.0,0.0,0.0,0.4000000059604645,17.5,0.9914448613738104
2023-11-02 00:35:00,0.0,0.4,0.0,0.0,0.0,0.4000000059604645,17.5,0.9883615104677607
2023-11-02 00:40:00,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.984807753012208
2023-11-02 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.9807852804032304
2023-11-02 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.9762960071199334
2023-11-02 00:55:00,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.9713420698132614
2023-11-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0.9659258262890683
2023-11-02 01:05:00,0.0,0.4,0.0,0.0,0.0,0.4000000059604645,17.3,0.9600498543859287
2023-11-02 01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,17.7,0.9537169507482269
2023-11-02 01:15:00,0.0,0.0,0.0,0.0,0.0,0.0,17.7,0.9469301294951057
2023-11-02 01:20:00,0.0,0.0,0.0,0.0,0.0,0.0,17.8,0.9396926207859084
2023-11-02 01:25:00,0.0,0.0,0.0,0.0,0.0,0.0,17.7,0.9320078692827986
2023-11-02 01:30:00,0.0,0.4,0.0,0.0,0.0,0.4000000059604645,17.9,0.9238795325112867
2023-11-02 01:35:00,0.0,0.0,0.0,0.0,0.0,0.0,17.8,0.9153114791194471
